"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,-6.520313,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,-5.997457,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,1.223346,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,0.865455,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,-0.540169,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,0.679631,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,8.070688,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,23.327117,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,0.625091,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,8.098457,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,7.167576,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2019","2019","PC","Percentage","0","Units",,,3.876096,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2020","2020","PC","Percentage","0","Units",,,5.479312,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2021","2021","PC","Percentage","0","Units",,,14.246588,,
"IRL","Ireland","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2022","2022","PC","Percentage","0","Units",,,7.377277,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1971","1971","PC","Percentage","0","Units",,,1.707727,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1972","1972","PC","Percentage","0","Units",,,5.306472,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1973","1973","PC","Percentage","0","Units",,,7.107478,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1974","1974","PC","Percentage","0","Units",,,2.862496,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1975","1975","PC","Percentage","0","Units",,,-7.586336,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1976","1976","PC","Percentage","0","Units",,,2.022799,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1977","1977","PC","Percentage","0","Units",,,1.373094,,
